File Name,E1,E2,E3,Apex,principal component 1 AVW,principal component 2 AVW,principal component 1 Bottom Tissue,principal component 2 Bottom Tissue
_Part2_E(1)_Part8_E(2.2211)_Part9_E(1)_Part12_E(1.5768)_Part27_E(1.6329),2.2211,1.5768,1.6329,-5.75073299074,0.027631594328583645,-0.05724946944418711,-5.878886031059143,0.00031651525883194314
_Part2_E(1)_Part8_E(1.0986)_Part9_E(1)_Part12_E(1.6345)_Part27_E(2.6251),1.0986,1.6345,2.6251,-5.78629041604,0.37467653302709464,0.1104994533378272,9.25928834977056,-0.000674133544409037
_Part2_E(1)_Part8_E(1.3268)_Part9_E(1)_Part12_E(1.8294)_Part27_E(2.2889),1.3268,1.8294,2.2889,-5.8044363724,0.1664616556679151,0.07773950378128357,9.259260298453608,-0.0004980607778010817
_Part2_E(1)_Part8_E(1.7075)_Part9_E(1)_Part12_E(1.7906)_Part27_E(1.1419),1.7075,1.7906,1.1419,-5.79043373223,0.044856261685315,0.014010896899474282,-5.878881482861427,0.0013539300939644865
_Part2_E(1)_Part8_E(1.6094)_Part9_E(1)_Part12_E(1.6463)_Part27_E(1.3184),1.6094,1.6463,1.3184,-5.77295478347,0.14150247059954082,0.014114530763900665,9.259219742354817,0.0007618094194409642
_Part2_E(1)_Part8_E(1.6909)_Part9_E(1)_Part12_E(2.8598)_Part27_E(2.5604),1.6909,2.8598,2.5604,-5.87843804603,-0.25787391114605235,0.07163875108137141,-5.878916827597522,-0.0005988957337376335
_Part2_E(1)_Part8_E(2.2385)_Part9_E(1)_Part12_E(1.2262)_Part27_E(1.0033),2.2385,1.2262,1.0033,-5.68055995756,0.2517799805971135,-0.09919310016748702,9.25918242949713,0.001760987498214246
_Part2_E(1)_Part8_E(2.299)_Part9_E(1)_Part12_E(1.3754)_Part27_E(1.1868),2.299,1.3754,1.1868,-5.71308632763,0.13286132035161585,-0.08377198639356297,9.259174186475319,0.0010819772270596406
_Part2_E(1)_Part8_E(1.4145)_Part9_E(1)_Part12_E(2.9972)_Part27_E(2.976),1.4145,2.9972,2.976,-5.89026748235,-0.18488730531477462,0.12361158995680982,-5.878933607254112,-0.0007796924101935812
_Part2_E(1)_Part8_E(2.4308)_Part9_E(1)_Part12_E(2.2125)_Part27_E(1.016),2.4308,2.2125,1.016,-5.82347537461,-0.2630177865839792,-0.03149611741129901,-5.878805085358148,0.0015828792386361245
_Part2_E(1)_Part8_E(2.6054)_Part9_E(1)_Part12_E(1.6411)_Part27_E(2.5705),2.6054,1.6411,2.5705,-5.75537338086,-0.0671189204424752,-0.07867207675428776,-5.878905194957837,-0.0005700951270213812
_Part2_E(1)_Part8_E(2.2797)_Part9_E(1)_Part12_E(1.4966)_Part27_E(2.1732),2.2797,1.4966,2.1732,-5.7363951356,0.06132053939304876,-0.06962914425711066,-5.878906861167429,-0.00026543260180246763
_Part2_E(1)_Part8_E(1.3388)_Part9_E(1)_Part12_E(1.3764)_Part27_E(1.7858),1.3388,1.3764,1.7858,-5.73434994334,0.3970775993349183,0.024420631861259104,9.259277280122316,5.398466694646349e-05
